proj_id,regis_id,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,Firm Name,permit_us_investment,AIMC Category,type,last_upd_date,asset_lv3_name,asset_lv3_code,asset_lv2_name,asset_lv2_code,asset_lv1_name,asset_lv1_code,status
M0414_2559,MF0462_2559,กองทุนเปิด วรรณ เอ็นแฮนท์ ไฟแนนเชียล อินสตรูเมนท์ 2Y,One Enhanced Financial Instruments 2Y,ONE-ENHANCED2Y,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0351_2560,MF0271_2560,กองทุนเปิด วรรณ เอ็นแฮนท์ ไฟแนนเชียล อินสตรูเมนท์ ฟันด์ 3M3 ห้ามขายผู้ลงทุนรายย่อย,One Enh Fincl Instruments 3M3 NFRI,ONE-ENHANCED3M3,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0025_2536,004_2537,กองทุนเปิด วรรณ อิควิตี้,ONE Equity,ONE-EQ,RG,C0000000569,One Asset Management Ltd,Y,Equity General,Other,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0078_2561,MF0074_2561,กองทุนเปิด วรรณ ยูโรเปี้ยน อิควิตี้,One European Equity,ONE-EUROEQ,RG,C0000000569,One Asset Management Ltd,Y,European Equity,Other,2018-12-17T05:05:56,European Equity,EQEU,ตราสารทุนยุโรป,EQEU,ตลาดพัฒนาแล้ว,EQDEL,avaliable
M0001_2540,007_2540,กองทุนเปิดเอกตราสารหนี้คืนกำไร,ONE Fixed Income Automatic Redemption,ONE-FAR,RG,C0000000569,One Asset Management Ltd,Y,Short Term General Bond,Other,2018-12-17T05:05:56,Short Term General Bond,FIXGEN,พันธบัตรไทย,BONDTH,พันธบัตร,BOND-TH,avaliable
M0041_2536,001_2537,กองทุนเปิดเอกเอเซียพูนผล,ONE Fas Prosperity,ONE-FAS,RG,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0619_2559,MF0501_2559,กองทุนเปิด วรรณ ไฟแนนเชียล อินสตรูเมนท์ 3Y,One Financial Instruments 3Y,ONE-FIN3Y,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0241_2560,MF0211_2560,กองทุนเปิด วรรณ ไฟแนนเชียล อินสตรูเมนท์ 3Y2,ONE Financial Instruments 3Y2,ONE-FIN3Y2,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0609_2559,MF0039_2560,กองทุนเปิด วรรณ ชอร์ตเทอม ฟิกซ์ อินคัม,One Short-Term Fixed Income A,ONE-FIXED,RG,C0000000569,One Asset Management Ltd,Y,Short Term General Bond,Other,2018-12-17T05:05:56,Short Term General Bond,FIXGEN,พันธบัตรไทย,BONDTH,พันธบัตร,BOND-TH,avaliable
M0114_2542,027_2542,กองทุนเปิดวรรณเฟล็กซิเบิล,ONE Flexible,ONE-FLEX,RG,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
